"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TXG","10x Genomics, Inc.","71.16","$6.87B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","7.55","$619.55M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.8","$29.13M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","21.8599","$15.3M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.3946","$43.4M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"FLWS","1-800-FLOWERS.COM, Inc.","15.29","$983.1M","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","8.4402","$41.16M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"ONEM","1Life Healthcare, Inc.","22.4","$2.82B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem",
"FCCY","1st Constitution Bancorp (NJ)","10.95","$111.53M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","32.65","$833.41M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","15.41","$1.75B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"XXII","22nd Century Group, Inc","0.7291","$101.24M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","23.97","$1.53B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","7.74","$1.17B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","3.97","$148.85M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"DDD","3D Systems Corporation","7.45","$885.56M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","146.46","$84.25B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","4.42","$190.06M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"JOBS","51job, Inc.","71.51","$4.78B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","51.3","$7.68B","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wuba",
"ETNB","89bio, Inc.","22.43","$309.29M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"JFK","8i Enterprises Acquisition Corp","10.17","$75.54M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.35","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.5","$52.5M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.3","$1.73M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","17.7","$1.81B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"EGHT","8x8 Inc","17.7","$1.81B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"JFU","9F Inc.","7.38","$1.43B","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AHC","A.H. Belo Corporation","1.45","$31.05M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","41.08","$6.66B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.81","$533.05M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AAON","AAON, Inc.","47.85","$2.49B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","18.11","$635.67M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","24.59","$1.64B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","17.67","$37.7B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","96.01","$169.31B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","83.45","$123.23B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ABEO","Abeona Therapeutics Inc.","2.33","$194.84M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ANF","Abercrombie & Fitch Company","11.07","$681.89M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","3.47","$859.5M","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","4.02","$91.42M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","5.56","$282.18M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"AGD","Aberdeen Global Dynamic Dividend Fund","8.1","$101.65M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"FCO","Aberdeen Global Income Fund, Inc.","5.89","$51.39M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"AWP","Aberdeen Global Premier Properties Fund","4.48","$382.63M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","7.74","$134.92M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.72","$90.09M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.19","$758.05M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABMD","ABIOMED, Inc.","166.02","$7.48B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","32.88","$2.19B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","0.1421","$23.93M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","7.85","$564.1M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","68.5","$2.85B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","2.43","$120.47M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","23.74","$2.11B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","48.9","$7.6B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","11.5","$998.72M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACAM","Acamar Partners Acquisition Corp.","9.94","$379.67M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.25","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","0.5","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","0.647","$58.37M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"ACEL","Accel Entertainment, Inc.","9","$704.11M","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"ACEL.WS","Accel Entertainment, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acel.ws",
"AXDX","Accelerate Diagnostics, Inc.","9.39","$533.48M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","97.78","$5.22B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ACN","Accenture plc","175.09","$111.64B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","5.71","$539.3M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ARAY","Accuray Incorporated","1.77","$160.13M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","1.39","$111.77M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","2.08","$21M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","0.35","$10.97M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",
"ACIW","ACI Worldwide, Inc.","26.01","$3.02B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","1.2","$49.83M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","36.07","$654.17M","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","21.27","$71.3M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","23.81","$206.43M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","1.06","$50.88M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor",
"ATV","Acorn International, Inc.","10.2936","$26.57M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"ACTT","Act II Global Acquisition Corp.","9.93","$372.38M","2019","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/actt",
"ACTTU","Act II Global Acquisition Corp.","10.59","n/a","2019","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/acttu",
"ACTTW","Act II Global Acquisition Corp.","0.699","$15.2M","2019","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/acttw",
"ATNM","Actinium Pharmaceuticals, Inc.","0.2151","$35.43M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"ATVI","Activision Blizzard, Inc","66.88","$51.45B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi",
"AYI","Acuity Brands, Inc. ","86.36","$3.42B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","24.24","$1.8B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"ADMS","Adamas Pharmaceuticals, Inc.","3.44","$96.36M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.35","$25.81M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp",
"ADX","Adams Diversified Equity Fund, Inc.","14.04","$1.53B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","9.71","$290.08M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"AE","Adams Resources & Energy, Inc.","22.8494","$96.78M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"AHCO","AdaptHealth Corp. ","15.1","$1.11B","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco",
"ADAP","Adaptimmune Therapeutics plc","3.47","$451.36M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","27.98","$3.53B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",
"ADXN","Addex Therapeutics Ltd","8.5","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxn",
"ADUS","Addus HomeCare Corporation","80.35","$1.25B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.52","$26.32M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey",
"AGRO","Adecoagro S.A.","4.06","$475.37M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"IOTS","Adesto Technologies Corporation","11.78","$363.01M","2015","Technology","Semiconductors","https://old.nasdaq.com/symbol/iots",
"ADIL","Adial Pharmaceuticals, Inc","1.5544","$16.29M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.2994","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw",
"ADNT","Adient plc","11.19","$1.05B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADMA","ADMA Biologics Inc","2.69","$232.27M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","344.11","$165.79B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe",
"ADT","ADT Inc.","5.37","$4.14B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","27.82","$1.47B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"ADTN","ADTRAN, Inc.","9.49","$456.32M","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","3.1","$250.36M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adro",
"AAP","Advance Auto Parts Inc","118.86","$8.21B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","32.25","$2.9B","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","35.98","$2.47B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ADES","Advanced Emissions Solutions, Inc.","6.66","$122.15M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","53.75","$2.07B","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","56.6","$66.27B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd",
"ASIX","AdvanSix Inc.","10.51","$293.38M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"ADXS","Advaxis, Inc.","0.6347","$38.24M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs",
"AVK","Advent Convertible and Income Fund","12.2","$421.21M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ADVM","Adverum Biotechnologies, Inc.","12.91","$1.03B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm",
"DWEQ","AdvisorShares Dorsey Wright Alpha Equal Weight ETF","18.4675","$23.08M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dweq",
"DWAW","AdvisorShares Dorsey Wright FSM All Cap World ETF","24.795","$29.75M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaw",
"DWUS","AdvisorShares Dorsey Wright FSM US Core ETF","24.3595","$31.67M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwus",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","17.115","$1.71M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","29.89","$93.41M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh",
"ACT","AdvisorShares Vice ETF","21.045","$9.47M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/act",
"ACM","AECOM","32.85","$5.21B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEGN","Aegion Corp","15.06","$463.9M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","5.66","$164.62M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle",
"AEFC","Aegon Funding Company LLC","23.58","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","22.78","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","2.45","$5.03B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AEHR","Aehr Test Systems","1.6633","$38.28M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","0.581","$11.95M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx",
"AER","Aercap Holdings N.V.","24.43","$3.21B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AERI","Aerie Pharmaceuticals, Inc.","15","$696.43M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aeri",
"ACY","AeroCentury Corp.","1.53","$2.37M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","43.55","$3.42B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","58.56","$1.41B","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","0.5773","$23.43M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/arpo",
"AIH","Aesthetic Medical International Holdings Group Ltd.","8.74","$206.38M","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aih",
"AEZS","AEterna Zentaris Inc.","0.8396","$16.82M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.58","$14.8M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/aemd",
"AMG","Affiliated Managers Group, Inc.","62.95","$3.01B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","24.96","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"AFMD","Affimed N.V.","2.3","$175.32M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/afmd",
"AFL","Aflac Incorporated","36.48","$26.36B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"AFYA","Afya Limited","18.62","$1.67B","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/afya",
"MITT","AG Mortgage Investment Trust, Inc.","3.1","$101.52M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","8.53","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","8.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","8.06","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGBA","AGBA Acquisition Limited","10.2209","$61.07M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.12","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","10.22","$61.06M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.0508","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbaw",
"AGCO","AGCO Corporation","49.49","$3.71B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","0.5623","$9.43M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGEN","Agenus Inc.","2.69","$434.68M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/agen",
"AGE","AgeX Therapeutics, Inc.","0.8058","$30.34M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AGRX","Agile Therapeutics, Inc.","2.23","$194.14M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agrx",
"A","Agilent Technologies, Inc.","79.55","$24.63B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AGYS","Agilysys, Inc.","17.25","$408.08M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","45.39","$3.11B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","15.48","$337.33M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","12.265","$6.96B","2008","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnc",
"AGNCM","AGNC Investment Corp.","21.91","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","22.8","$296400","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncn",
"AGNCO","AGNC Investment Corp.","21.75","$204.45M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnco",
"AGNCP","AGNC Investment Corp.","21.55","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncp",
"AEM","Agnico Eagle Mines Limited","53.88","$12.98B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","62.29","$3.02B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",
"AGFS","AgroFresh Solutions, Inc.","1.67","$85.5M","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.008","n/a","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfsw",
"AIKI","AIkido Pharma Inc.","0.85","$11.71M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/aiki",
"ALRN","Aileron Therapeutics, Inc.","0.5446","$15.15M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","16.24","$1.06B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aimt",
"AIRI","Air Industries Group","1.215","$37.1M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi",
"AL","Air Lease Corporation","23.76","$2.7B","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al",
"AL^A","Air Lease Corporation","17.56","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a",
"APD","Air Products and Chemicals, Inc.","221.5","$48.88B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd",
"AIRT","Air T, Inc.","12.75","$37.14M","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airt",
"AIRTP","Air T, Inc.","20.56","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airtp",
"AIRTW","Air T, Inc.","0.07","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airtw",
"ATSG","Air Transport Services Group, Inc","18.62","$1.11B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","7.12","$69.01M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/airg",
"ANTE","AirNet Technology Inc.","0.7498","$9.42M","n/a","Technology","Advertising","https://old.nasdaq.com/symbol/ante",
"AKAM","Akamai Technologies, Inc.","105.35","$17.12B","1999","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","1.55","$44.53M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aktx",
"SONG","Akazoo S.A.","2.53","$125.83M","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/song",
"SONGW","Akazoo S.A.","0.25","$1.55M","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/songw",
"AKCA","Akcea Therapeutics, Inc.","16.54","$1.67B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","7.46","$968.74M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akba",
"KERN","Akerna Corp.","7.86","$101.47M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/kern",
"KERNW","Akerna Corp.","0.628","n/a","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/kernw",
"AKRO","Akero Therapeutics, Inc.","20.56","$588.18M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akro",
"AKER","Akers Biosciences Inc.","3.42","$10.07M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","0.267","$35.51M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","7.56","$273.77M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/akts",
"ALP^Q","Alabama Power Company","26.61","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","90.09","$1.07B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","6.38","$2.5B","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/agi",
"ALRM","Alarm.com Holdings, Inc.","44.77","$2.18B","2015","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/alrm",
